Type,Entry Time,Exit Time,Profit/Loss,Entry,Exit,Result,Equity
Sell,2024-09-17 17:00:00,2024-09-17 18:00:00,199.96999999998863,186.845,186.645,Win,10199.969999999988
Sell,2024-09-17 18:00:00,2024-09-17 19:00:00,199.96999999998863,186.621,186.42100000000002,Win,10399.939999999977
Sell,2024-09-17 23:00:00,2024-09-18 01:00:00,199.96999999998863,187.367,187.167,Win,10599.909999999965
Sell,2024-09-18 01:00:00,2024-09-18 03:00:00,199.96999999998863,186.96,186.76000000000002,Win,10799.879999999954
Sell,2024-09-19 04:00:00,2024-09-19 05:00:00,199.96999999998863,189.321,189.121,Win,10999.849999999942
Sell,2024-09-19 05:00:00,2024-09-19 06:00:00,-99.96999999999431,188.916,189.016,Loss,10899.879999999948
Sell,2024-09-19 16:00:00,2024-09-19 17:00:00,199.96999999998863,189.666,189.466,Win,11099.849999999937
Sell,2024-09-20 11:00:00,2024-09-20 12:00:00,199.96999999998863,191.274,191.074,Win,11299.819999999925
Sell,2024-09-20 12:00:00,2024-09-20 13:00:00,199.96999999998863,191.347,191.14700000000002,Win,11499.789999999914
Sell,2024-09-20 13:00:00,2024-09-20 14:00:00,-99.96999999999431,191.627,191.727,Loss,11399.81999999992
Sell,2024-09-20 14:00:00,2024-09-20 15:00:00,199.96999999998863,191.802,191.602,Win,11599.789999999908
Sell,2024-09-20 15:00:00,2024-09-20 16:00:00,199.96999999998863,191.372,191.17200000000003,Win,11799.759999999897
Sell,2024-09-20 18:00:00,2024-09-20 19:00:00,-99.96999999999431,191.46,191.56,Loss,11699.789999999903
Sell,2024-09-23 05:00:00,2024-09-23 08:00:00,199.96999999998863,192.189,191.989,Win,11899.759999999891
Sell,2024-09-24 12:00:00,2024-09-24 13:00:00,199.96999999998863,192.976,192.776,Win,12099.72999999988
Sell,2024-09-24 13:00:00,2024-09-24 14:00:00,199.96999999998863,192.404,192.204,Win,12299.699999999868
Sell,2024-09-27 04:00:00,2024-09-27 05:00:00,199.96999999998863,194.551,194.351,Win,12499.669999999856
Sell,2024-09-27 09:00:00,2024-09-27 10:00:00,199.96999999998863,191.701,191.501,Win,12699.639999999845
Buy,2024-09-27 22:00:00,2024-09-27 23:00:00,-99.96999999999431,190.137,190.037,Loss,12599.669999999851
Buy,2024-09-27 23:00:00,2024-09-30 00:00:00,-99.96999999999431,190.231,190.131,Loss,12499.699999999857
Buy,2024-09-30 01:00:00,2024-09-30 02:00:00,199.96999999998863,190.902,191.10199999999998,Win,12699.669999999845
Sell,2024-10-02 17:00:00,2024-10-02 18:00:00,199.96999999998863,193.7,193.5,Win,12899.639999999834
Sell,2024-10-02 18:00:00,2024-10-02 19:00:00,-99.96999999999431,193.8,193.9,Loss,12799.66999999984
Sell,2024-10-02 19:00:00,2024-10-02 20:00:00,-99.96999999999431,193.793,193.893,Loss,12699.699999999846
Sell,2024-10-02 20:00:00,2024-10-02 21:00:00,-99.96999999999431,193.97,194.07,Loss,12599.729999999852
Sell,2024-10-02 21:00:00,2024-10-02 22:00:00,-99.96999999999431,194.048,194.148,Loss,12499.759999999858
Sell,2024-10-02 22:00:00,2024-10-03 00:00:00,199.96999999998863,194.347,194.14700000000002,Win,12699.729999999847
Sell,2024-10-03 00:00:00,2024-10-03 01:00:00,-99.96999999999431,194.102,194.202,Loss,12599.759999999853
Sell,2024-10-03 01:00:00,2024-10-03 02:00:00,199.96999999998863,194.461,194.26100000000002,Win,12799.729999999841
Sell,2024-10-03 02:00:00,2024-10-03 03:00:00,-99.96999999999431,194.394,194.494,Loss,12699.759999999847
Sell,2024-10-03 03:00:00,2024-10-03 04:00:00,199.96999999998863,194.931,194.73100000000002,Win,12899.729999999836
Sell,2024-10-03 04:00:00,2024-10-03 05:00:00,199.96999999998863,194.612,194.412,Win,13099.699999999824
Sell,2024-10-03 05:00:00,2024-10-03 06:00:00,-99.96999999999431,194.511,194.611,Loss,12999.72999999983
Sell,2024-10-04 16:00:00,2024-10-04 17:00:00,-99.96999999999431,194.392,194.492,Loss,12899.759999999837
Sell,2024-10-04 17:00:00,2024-10-04 18:00:00,199.96999999998863,194.723,194.52300000000002,Win,13099.729999999825
Sell,2024-10-04 18:00:00,2024-10-04 19:00:00,-99.96999999999431,194.88,194.98,Loss,12999.759999999831
Sell,2024-10-04 19:00:00,2024-10-04 20:00:00,-99.96999999999431,195.328,195.428,Loss,12899.789999999837
Sell,2024-10-04 20:00:00,2024-10-04 21:00:00,-99.96999999999431,195.239,195.339,Loss,12799.819999999843
Sell,2024-10-04 21:00:00,2024-10-04 23:00:00,199.96999999998863,195.349,195.149,Win,12999.789999999832
Sell,2024-10-04 23:00:00,2024-10-07 00:00:00,-99.96999999999431,195.027,195.12699999999998,Loss,12899.819999999838
Sell,2024-10-07 00:00:00,2024-10-07 01:00:00,-99.96999999999431,195.088,195.188,Loss,12799.849999999844
Sell,2024-10-07 01:00:00,2024-10-07 02:00:00,-99.96999999999431,195.366,195.466,Loss,12699.87999999985
Sell,2024-10-07 02:00:00,2024-10-07 03:00:00,199.96999999998863,195.257,195.05700000000002,Win,12899.849999999838
Sell,2024-10-07 03:00:00,2024-10-07 04:00:00,-99.96999999999431,194.765,194.86499999999998,Loss,12799.879999999845
Sell,2024-10-17 20:00:00,2024-10-17 22:00:00,-99.96999999999431,195.483,195.583,Loss,12699.90999999985
Sell,2024-10-17 22:00:00,2024-10-18 03:00:00,199.96999999998863,195.473,195.27300000000002,Win,12899.87999999984
Sell,2024-10-18 10:00:00,2024-10-18 11:00:00,199.96999999998863,195.905,195.705,Win,13099.849999999828
Sell,2024-10-18 11:00:00,2024-10-18 12:00:00,-99.96999999999431,195.508,195.608,Loss,12999.879999999834
